product_id,product_name,category,brand,price_zar,cost_zar,margin_pct,weight_kg,anomaly_raw
LIB-01983014,Family Pack Bobotie Ready Meal 1kg,Convenience Meals,Millennium Foods,202.96,158.46,21.93,4.685,-0.06625634045515372
LIB-02717622,Traditional Chicken Nuggets 125g,Value-added Meats,Finlar Fine Foods,239.06,131.88,44.83,5.327,-0.06584296610783369
LIB-02642251,Traditional Orange Marmalade 400g,Spreads,Dickon Hall Foods,212.05,167.47,21.02,3.407,-0.06580767598301118
LIB-00910943,Premium Crumbed Chicken Schnitzel 1kg,Value-added Meats,Finlar Fine Foods,257.04,137.7,46.43,4.44,-0.06576762269507053
LIB-03810000,Premium Rooibos Tea 750ml,Dry condiments,Khoisan Gourmet,321.91,164.97,48.75,3.863,-0.06576762269507053
LIB-02833226,Family Pack Chocolate Spread 125g,Spreads,Cape Coastal Honey,219.71,172.98,21.27,3.894,-0.06574831088653099
LIB-04828268,Select Instant Cappuccino 250g,Beverages,Chamonix,209.33,167.38,20.04,2.555,-0.06573787206012938
LIB-04760290,Gourmet Cordon Bleu 250g,Value-added Meats,Finlar Fine Foods,215.01,171.19,20.38,3.029,-0.0655718130816686
LIB-03930895,Premium Crumbed Chicken Schnitzel 500g,Value-added Meats,Retailer Brands,204.48,162.39,20.58,2.813,-0.0655718130816686
LIB-04649769,Everyday Apricot Jam 750g,Spreads,Cape Coastal Honey,223.86,175.99,21.38,3.949,-0.06524062492750815
LIB-03856545,CLASSIC ICED TEA CONCENTRATE 1KG,Beverages,Chamonix,213.38,165.0,22.67,4.278,-0.06524062492750815
LIB-03076391,Gourmet Hot Chocolate 500ml,Beverages,Khoisan Gourmet,255.02,197.09,22.72,4.358,-0.06524062492750815
LIB-04844136,Gourmet Iced Tea Concentrate 250g,Beverages,Chamonix,205.68,162.24,21.12,3.878,-0.06524062492750815
LIB-00635436,Organic Green Tea 500ml,Beverages,Khoisan Gourmet,245.72,190.07,22.65,4.59,-0.06524062492750815
LIB-01756700,Classic Couscous 750g,Meal ingredients,Cape Foods,226.14,113.68,49.73,6.086,-0.06523019316148493
LIB-01582625,Select Orange Marmalade 750ml,Wet condiments,Dickon Hall Foods,246.0,135.28,45.01,4.804,-0.06482780956875156
LIB-02123501,Premium Crumbed Chicken Schnitzel 1L,Value-added Meats,Finlar Fine Foods,234.48,183.71,21.65,3.926,-0.06473328234568221
LIB-01077735,Premium Bobotie Ready Meal 500g,Value-added Meats,Finlar Fine Foods,206.65,162.54,21.35,3.806,-0.06473328234568221
LIB-01218936,classic pepper sauce 125g,Wet condiments,Maille,182.57,145.51,20.3,4.454,-0.06455702321130108
LIB-03536376,Select Chicken Nuggets 2kg,Value-added Meats,Finlar Fine Foods,270.12,186.54,30.94,5.416,-0.06439204414596866
LIB-01355542,Family Pack Chocolate Spread 250g,Spreads,Bonne Maman,200.35,158.48,20.9,3.492,-0.06428552763065931
LIB-03379134,Everyday Apricot Jam 250ml,Spreads,Bonne Maman,199.18,156.75,21.3,4.171,-0.06422628290880761
LIB-01486023,Classic Fynbos Honey 500ml,Spreads,Bonne Maman,356.27,274.58,22.93,4.055,-0.06422628290880761
LIB-01407965,Classic Instant Cappuccino 400g,Beverages,Rialto,226.73,175.62,22.54,6.769,-0.06422628290880761
LIB-03475091,Organic Cordon Bleu 1kg,Value-added Meats,Finlar Fine Foods,198.91,158.65,20.24,3.111,-0.06405014298861078
LIB-02504328,Premium Peri-Peri Chicken Strips 750ml,Value-added Meats,Finlar Fine Foods,242.01,187.19,22.65,4.048,-0.06371962638479556
LIB-04234679,Gourmet Iced Tea Concentrate 750g,Beverages,Chamonix,241.96,192.08,20.61,2.582,-0.06354360559815175
LIB-00124294,Traditional Mac & Cheese Meal 250g,Convenience Meals,Finlar Fine Foods,194.47,155.2,20.19,3.225,-0.06354360559815175
LIB-00928381,Classic Green Tea 125g,Beverages,Chamonix,274.5,217.2,20.87,3.107,-0.0632724771494464
LIB-02179938,Organic Iced Tea Concentrate 250g,Dry condiments,Khoisan Gourmet,221.62,175.17,20.96,3.146,-0.0632724771494464
LIB-04536763,Classic Pasta Shells 250g,Meal ingredients,Goldcrest,234.83,121.69,48.18,4.774,-0.06323255913010695
LIB-01048152,Organic Chicken Nuggets 1kg,Value-added Meats,Finlar Fine Foods,230.7,118.31,48.72,4.736,-0.06323255913010695
LIB-01024526,Everyday Iced Tea Concentrate 1kg,Beverages,Chamonix,226.67,174.62,22.96,3.914,-0.06321331254171447
LIB-00562801,Select Strawberry Preserve 1L,Spreads,Bonne Maman,241.31,134.43,44.29,4.221,-0.06314212675872999
LIB-04889171,Classic Olive Oil Blend 250g,Meal ingredients,Montagu Foods,245.21,168.13,31.43,4.9,-0.06287276627082716
LIB-00719304,Classic Rooibos Tea 250g,Beverages,Khoisan Gourmet,224.8,118.54,47.27,4.815,-0.06272657471860787
LIB-04027256,SELECT MAYONNAISE 250G,Wet condiments,Maille,212.34,114.69,45.99,4.268,-0.06272657471860787
LIB-03844825,Organic Soy Sauce 750g,Wet condiments,Kikkoman,282.55,169.31,40.08,4.455,-0.06270954896499725
LIB-02448561,Classic Strawberry Preserve 400g,Spreads,Goldcrest,241.07,184.99,23.26,5.808,-0.06270734114778942
LIB-00524002,Family Pack Instant Cappuccino 750ml,Beverages,Chamonix,237.74,182.0,23.45,4.703,-0.06270734114778942
LIB-00316012,Classic White Wine Vinegar 250g,Wet condiments,Cecil Vinegar,224.94,113.69,49.46,4.335,-0.06269694461209241
LIB-01364873,Family Pack Fynbos Honey 1L,Spreads,Bonne Maman,243.3,137.62,43.44,4.056,-0.06263620351184185
LIB-00546651,Premium Beef Burger Patties 125g,Value-added Meats,Finlar Fine Foods,233.94,186.49,20.28,2.621,-0.06253155838657531
LIB-03119782,Gourmet Bobotie Ready Meal 1kg,Convenience Meals,Finlar Fine Foods,235.14,164.33,30.11,6.058,-0.06236702520792048
LIB-00589771,Classic Sweet Chilli Sauce 500ml,Wet condiments,Maille,204.73,111.12,45.72,5.124,-0.0622209325334514
LIB-00966729,Organic Chocolate Spread 500g,Spreads,Bonne Maman,209.6,165.23,21.17,3.439,-0.06220171197140234
LIB-02284899,Premium Hot Chocolate 750ml,Beverages,Rialto,220.29,173.46,21.26,3.503,-0.06220171197140234
LIB-04474911,PREMIUM BEEF BURGER PATTIES 500ML,Value-added Meats,Finlar Fine Foods,210.03,161.83,22.95,3.854,-0.06220171197140234
LIB-02574484,Family Pack Instant Cappuccino 2kg,Beverages,Chamonix,223.17,111.69,49.95,4.188,-0.06219132246748005
LIB-01547072,Everyday Peri-Peri Chicken Strips 1L,Value-added Meats,Finlar Fine Foods,212.12,117.5,44.61,5.255,-0.062130622449927175
LIB-03343560,Premium Crumbed Chicken Schnitzel 125g,Value-added Meats,Finlar Fine Foods,237.22,188.73,20.44,2.698,-0.06202604810217405
LIB-02797212,Classic Hot Chocolate 1L,Beverages,Chamonix,212.92,169.51,20.39,2.726,-0.06202604810217405
LIB-00694288,Family Pack Chicken Nuggets 750g,Value-added Meats,Finlar Fine Foods,330.18,205.26,37.83,5.187,-0.06186383152632524
LIB-01843340,Family Pack Veg Curry Meal 250ml,Convenience Meals,Millennium Foods,232.9,163.61,29.75,5.026,-0.06186162620676572
LIB-02930668,Everyday Rooibos Tea 125g,Beverages,Rialto,245.38,192.13,21.7,3.624,-0.06169642478109205
LIB-04868610,Family Pack Iced Tea Concentrate 1L,Beverages,Chamonix,228.6,116.33,49.11,4.051,-0.06168604230418839
LIB-00820575,Family Pack Iced Tea Concentrate 1L,Beverages,Khoisan Gourmet,206.62,115.4,44.15,4.846,-0.06162538334154655
LIB-00499304,premium rooibos tea 250ml,Beverages,Rialto,291.1,177.7,38.96,5.518,-0.06135877286398195
LIB-01454548,Family Pack Green Tea 750ml,Beverages,Rialto,245.79,170.66,30.57,4.032,-0.061356569036006836
LIB-00135315,Premium Iced Tea Concentrate 750ml,Beverages,Khoisan Gourmet,229.04,162.61,29.0,4.22,-0.061356569036006836
LIB-04194671,Select Iced Tea Concentrate 2kg,Beverages,Rialto,223.22,158.75,28.88,4.358,-0.061356569036006836
LIB-03041042,Gourmet Apricot Jam 250g,Spreads,Goldcrest,249.72,142.86,42.79,4.188,-0.06126856700038952
LIB-00309677,EVERYDAY STRAWBERRY PRESERVE 750G,Spreads,Cape Coastal Honey,192.7,151.48,21.39,4.676,-0.06119147934555347
LIB-03980493,Premium Butter Chicken Meal 500g,Convenience Meals,Millennium Foods,201.62,156.75,22.25,3.94,-0.06119147934555347
LIB-00686297,Traditional Chocolate Spread 125g,Spreads,Cape Coastal Honey,255.39,189.7,25.72,4.519,-0.06119147934555347
LIB-00173302,ORGANIC CRUMBED CHICKEN SCHNITZEL 1KG,Value-added Meats,Finlar Fine Foods,303.88,232.06,23.63,4.743,-0.06119147934555347
LIB-01321649,Organic Instant Cappuccino 1L,Dry condiments,Khoisan Gourmet,316.68,241.85,23.63,6.109,-0.06119147934555347
LIB-02957460,Family Pack Orange Marmalade 1kg,Spreads,Dickon Hall Foods,206.12,157.1,23.78,4.279,-0.06119147934555347
LIB-00427301,Gourmet Instant Cappuccino 400g,Beverages,Chamonix,192.07,152.68,20.51,3.386,-0.061016053019110617
LIB-00256173,Family Pack Strawberry Preserve 750g,Spreads,Cape Coastal Honey,206.25,142.5,30.91,5.872,-0.06085185346444433
LIB-03585184,Everyday Iced Tea Concentrate 750g,Beverages,Chamonix,241.07,139.88,41.98,4.909,-0.06076391094966227
LIB-01888218,Organic Olive Oil Blend 750ml,Meal ingredients,Goldcrest,216.15,169.29,21.68,3.614,-0.060686875433638376
LIB-04323648,Everyday Instant Cappuccino 500g,Beverages,Chamonix,265.13,207.73,21.65,3.515,-0.060686875433638376
LIB-01839423,Everyday BBQ Spice Blend 125g,Dry condiments,Khoisan Gourmet,212.76,158.8,25.36,4.607,-0.060686875433638376
LIB-03618331,Premium Balsamic Reduction 250g,Wet condiments,Maille,226.68,176.96,21.93,3.528,-0.060686875433638376
LIB-00119139,Organic Strawberry Preserve 750ml,Spreads,Cape Coastal Honey,176.31,140.94,20.06,3.874,-0.060676506996517054
LIB-00519203,Premium Feta Rounds 500g,Dairy,Lancewood,183.51,146.62,20.1,3.283,-0.060676506996517054
LIB-01875729,Traditional Apricot Jam 400g,Spreads,Bonne Maman,218.94,121.49,44.51,4.359,-0.06061593006041266
LIB-03462718,TRADITIONAL STRAWBERRY PRESERVE 1L,Spreads,Bonne Maman,193.44,153.7,20.54,3.118,-0.06051156775810396
LIB-04939095,Gourmet Orange Marmalade 1kg,Spreads,Bonne Maman,308.22,245.77,20.26,2.544,-0.06051156775810396
LIB-04505100,Classic BBQ Spice Blend 125g,Dry condiments,Khoisan Gourmet,236.97,121.35,48.79,4.174,-0.0602017814292517
LIB-01287899,Everyday Lasagne Ready Meal 500g,Convenience Meals,Millennium Foods,324.96,246.9,24.02,5.518,-0.06018261281435455
LIB-02887685,Select Cottage Pie 750ml,Convenience Meals,Finlar Fine Foods,231.59,168.28,27.34,5.157,-0.06018261281435455
LIB-03017225,Select Couscous 750g,Meal ingredients,Goldcrest,209.87,159.27,24.11,4.512,-0.06018261281435455
LIB-00964838,Select Butter Chicken Meal 400g,Value-added Meats,Finlar Fine Foods,218.74,168.17,23.12,3.979,-0.06018261281435455
LIB-04928974,Select Strawberry Preserve 750g,Spreads,Goldcrest,225.12,123.16,45.29,4.449,-0.05977258108039085
LIB-04562610,Organic Mayonnaise 750g,Wet condiments,Maille,226.63,128.55,43.28,4.855,-0.05975562260103551
LIB-00110517,Select Orange Marmalade 250g,Spreads,Bonne Maman,372.37,214.8,42.32,3.728,-0.05968089012956812
LIB-03346516,Everyday Soy Sauce 400g,Wet condiments,Kikkoman,194.65,152.17,21.82,5.17,-0.05967869125686631
LIB-02651830,ORGANIC CORDON BLEU 1KG,Value-added Meats,Finlar Fine Foods,296.65,213.87,27.9,5.273,-0.05967869125686631
LIB-01435842,Family Pack Fynbos Honey 500ml,Spreads,Bonne Maman,202.88,161.93,20.18,2.357,-0.05966833684054185
LIB-02727174,Family Pack Fynbos Honey 500g,Spreads,Cape Coastal Honey,245.77,160.66,34.63,5.372,-0.05960945725565292
LIB-00998097,Traditional Chocolate Spread 500g,Wet condiments,Dickon Hall Foods,245.27,162.94,33.57,4.64,-0.05960945725565292
LIB-02184161,Gourmet Soy Sauce 500ml,Wet condiments,Tabasco,215.34,171.07,20.56,2.512,-0.05950362064245185
LIB-03002005,Everyday Pepper Sauce 250ml,Wet condiments,Kikkoman,246.92,153.45,37.85,4.188,-0.059341951907003754
LIB-01795911,Organic Instant Cappuccino 750ml,Beverages,Rialto,264.67,182.82,30.93,3.704,-0.059339754035284464
LIB-04644846,Classic Crumbed Chicken Schnitzel 750ml,Value-added Meats,Retailer Brands,287.5,200.56,30.24,3.898,-0.059339754035284464
LIB-04934173,Traditional Orange Marmalade 500ml,Spreads,Cape Coastal Honey,208.1,115.02,44.73,4.336,-0.05926893685093382
LIB-01561283,Gourmet Rooibos Tea 500ml,Beverages,Chamonix,233.68,133.47,42.88,4.573,-0.05925198984157287
LIB-00794985,Traditional Strawberry Preserve 750g,Spreads,Bonne Maman,245.39,142.37,41.98,4.163,-0.05925198984157287
LIB-04273667,Premium Hot Chocolate 250g,Beverages,Khoisan Gourmet,244.83,128.95,47.33,4.058,-0.05919425322448757
LIB-00160115,Classic Chicken Nuggets 1kg,Value-added Meats,Finlar Fine Foods,219.34,169.13,22.89,3.378,-0.059175110530493846
LIB-01796075,GOURMET BOBOTIE READY MEAL 500G,Convenience Meals,Millennium Foods,216.77,167.14,22.9,3.398,-0.059175110530493846
LIB-01475209,Traditional Fynbos Honey 250g,Spreads,Bonne Maman,268.33,199.89,25.51,4.204,-0.059175110530493846
LIB-00500678,Everyday Fynbos Honey 750ml,Spreads,Bonne Maman,330.8,259.14,21.66,3.355,-0.059175110530493846
LIB-01642123,Select Apricot Jam 500ml,Spreads,Bonne Maman,208.31,165.25,20.67,2.53,-0.05900015832639938
LIB-04516875,Family Pack Cordon Bleu 500g,Value-added Meats,Finlar Fine Foods,237.43,188.41,20.65,2.538,-0.05900015832639938
LIB-04455183,Premium Rooibos Tea 750ml,Beverages,Rialto,247.41,171.64,30.63,3.658,-0.05883640255163791
LIB-00229224,Select Hot Chocolate 500g,Beverages,Rialto,279.89,189.84,32.17,4.274,-0.05883640255163791
LIB-03693733,Gourmet Coconut Milk 1kg,Meal ingredients,Cape Foods,210.67,110.75,47.43,4.248,-0.05869100015140305
LIB-02220118,Select Risotto Rice 750ml,Meal ingredients,Goldcrest,248.48,133.85,46.13,3.773,-0.05869100015140305
LIB-04099904,Premium Apricot Jam 400g,Spreads,Cape Coastal Honey,244.18,129.46,46.98,4.154,-0.05869100015140305
LIB-02463763,Premium Iced Tea Concentrate 1L,Beverages,Rialto,232.51,176.62,24.04,4.107,-0.058671870404713555
LIB-00797979,Premium Crumbed Chicken Schnitzel 500ml,Value-added Meats,Finlar Fine Foods,284.35,224.18,21.16,3.279,-0.058671870404713555
LIB-00824586,Everyday Rooibos Tea 1kg,Beverages,Chamonix,247.4,181.52,26.63,5.046,-0.058671870404713555
LIB-04827432,Premium Green Tea 400g,Dry condiments,Khoisan Gourmet,244.09,176.14,27.84,4.114,-0.058671870404713555
LIB-02259125,Family Pack Green Tea 125g,Beverages,Khoisan Gourmet,214.47,157.61,26.51,5.0,-0.058671870404713555
LIB-03892820,Premium Rooibos Tea 500g,Beverages,Rialto,261.83,191.8,26.75,4.226,-0.058671870404713555
LIB-03696569,Organic Peri-Peri Chicken Strips 750ml,Value-added Meats,Finlar Fine Foods,294.04,214.77,26.96,5.637,-0.058671870404713555
LIB-02098205,Everyday Iced Tea Concentrate 125g,Beverages,Chamonix,234.23,171.33,26.85,4.37,-0.058671870404713555
LIB-02263818,Select Hot Chocolate 2kg,Beverages,Chamonix,263.18,202.67,22.99,3.368,-0.058671870404713555
LIB-00423872,Classic Chicken Nuggets 1kg,Value-added Meats,Finlar Fine Foods,253.11,190.67,24.67,4.237,-0.058671870404713555
LIB-01252716,Traditional Lasagne Ready Meal 500g,Convenience Meals,Finlar Fine Foods,235.1,176.69,24.84,4.233,-0.058671870404713555
LIB-02496851,Everyday Strawberry Preserve 1kg,Spreads,Bonne Maman,244.32,123.01,49.65,3.804,-0.058661529990226335
LIB-01391047,Gourmet Orange Marmalade 500ml,Spreads,Bonne Maman,260.02,145.26,44.14,3.74,-0.058601116774583906
LIB-04814463,Premium Risotto Rice 500g,Meal ingredients,Goldcrest,234.79,142.69,39.23,4.92,-0.058410183852972475
LIB-03140337,Everyday Chocolate Spread 500g,Spreads,Bonne Maman,384.6,243.92,36.58,5.879,-0.05833558641316405
LIB-04872338,TRADITIONAL BOBOTIE READY MEAL 2KG,Convenience Meals,Finlar Fine Foods,192.02,152.06,20.81,3.84,-0.058227736308387734
LIB-00280545,Family Pack Sweet Chilli Sauce 750g,Wet condiments,Maille,196.86,156.0,20.76,3.139,-0.058227736308387734
LIB-04444344,Family Pack Green Tea 2kg,Beverages,Chamonix,235.33,121.92,48.19,4.109,-0.058188087457299864
LIB-04964833,Organic Iced Tea Concentrate 125g,Beverages,Khoisan Gourmet,228.29,123.08,46.09,3.873,-0.058188087457299864
LIB-02315453,Everyday Balsamic Reduction 125g,Wet condiments,Maille,318.02,186.3,41.42,3.709,-0.05817116506320452
LIB-03047920,Gourmet Strawberry Preserve 125g,Spreads,Bonne Maman,255.6,198.77,22.23,3.333,-0.058168970649157714
LIB-00306759,Classic Instant Cappuccino 400g,Beverages,Chamonix,220.94,158.92,28.07,4.162,-0.058168970649157714
LIB-03887993,Family Pack Green Tea 2kg,Beverages,Rialto,217.75,164.76,24.34,4.087,-0.058168970649157714
LIB-02745062,Premium Iced Tea Concentrate 500ml,Beverages,Khoisan Gourmet,265.63,189.95,28.49,4.207,-0.058168970649157714
LIB-01401082,Everyday Chocolate Spread 750g,Spreads,Bonne Maman,251.34,195.79,22.1,3.3,-0.058168970649157714
LIB-04665971,Everyday Rooibos Tea 500g,Beverages,Khoisan Gourmet,253.4,191.65,24.37,4.089,-0.058168970649157714
LIB-00207527,Family Pack Instant Cappuccino 2kg,Beverages,Chamonix,199.62,159.58,20.06,2.463,-0.05815863722848724
LIB-01878635,Select Beef Burger Patties 2kg,Value-added Meats,Retailer Brands,219.37,174.5,20.45,2.514,-0.05799425502549416
LIB-04234236,Organic Apricot Jam 250g,Spreads,Bonne Maman,233.01,137.56,40.96,4.316,-0.05774313445648516
LIB-01114786,CLASSIC CRUMBED CHICKEN SCHNITZEL 2KG,Value-added Meats,Finlar Fine Foods,212.29,108.68,48.81,4.307,-0.05768551491196017
LIB-03757523,Gourmet Green Tea 500g,Beverages,Khoisan Gourmet,303.11,176.23,41.86,3.593,-0.05766860396345275
LIB-01128017,Classic Gouda Wedge 1L,Dairy,Lancewood,187.78,147.65,21.37,4.232,-0.05766641103361425
LIB-02891694,Traditional Instant Cappuccino 250ml,Beverages,Khoisan Gourmet,211.22,161.94,23.33,3.743,-0.05766641103361425
LIB-04752111,Organic Orange Marmalade 1kg,Spreads,Bonne Maman,208.26,161.53,22.44,3.263,-0.05766641103361425
LIB-04962106,Traditional Beef Burger Patties 750g,Dairy,Retailer Brands,269.63,208.92,22.52,3.595,-0.05766641103361425
LIB-03944437,Premium Rooibos Tea 1L,Beverages,Khoisan Gourmet,280.72,207.91,25.94,3.814,-0.05766641103361425
LIB-01904191,Traditional Coconut Milk 1kg,Spreads,Goldcrest,215.81,167.23,22.51,3.486,-0.05766641103361425
LIB-02125168,Select BBQ Spice Blend 500g,Dry condiments,Cape Foods,242.48,156.13,35.61,4.287,-0.05759736415019512
LIB-00787256,Premium Pasta Shells 500ml,Meal ingredients,Cape Foods,237.21,133.56,43.7,4.003,-0.05759575308061193
LIB-00458918,Family Pack Veg Curry Meal 750g,Convenience Meals,Finlar Fine Foods,206.3,140.71,31.79,5.116,-0.057328389853054884
LIB-01513949,Gourmet Chicken Nuggets 2kg,Value-added Meats,Finlar Fine Foods,209.66,142.65,31.96,4.363,-0.057328389853054884
LIB-03931252,Premium Cordon Bleu 400g,Value-added Meats,Finlar Fine Foods,199.65,157.86,20.93,2.807,-0.05722287752095334
LIB-03548970,Traditional Iced Tea Concentrate 500g,Beverages,Chamonix,196.56,155.9,20.69,2.993,-0.05722287752095334
LIB-03431235,Organic Olive Oil Blend 750ml,Spreads,Goldcrest,202.23,108.77,46.21,5.146,-0.05717140128953424
LIB-04645718,Everyday Lasagne Ready Meal 1kg,Value-added Meats,Finlar Fine Foods,210.62,158.06,24.95,4.125,-0.05716419132802708
LIB-02283962,Select Iced Tea Concentrate 750ml,Beverages,Khoisan Gourmet,238.68,180.37,24.43,4.183,-0.05716419132802708
LIB-04479121,Traditional Apricot Jam 500ml,Spreads,Bonne Maman,246.41,163.66,33.58,4.001,-0.05709519114498407
LIB-04022970,Premium Strawberry Preserve 750ml,Spreads,Cape Coastal Honey,237.47,157.24,33.79,3.818,-0.05709519114498407
LIB-04024890,Everyday Instant Cappuccino 1L,Beverages,Chamonix,245.11,162.95,33.52,3.889,-0.05709519114498407
LIB-01292497,Traditional Rooibos Tea 750g,Beverages,Rialto,191.58,152.59,20.35,3.157,-0.05698971196487679
LIB-00929350,Organic Fynbos Honey 500g,Spreads,Bonne Maman,204.91,162.67,20.61,2.359,-0.05698971196487679
LIB-00953612,CLASSIC GREEN TEA 750ML,Beverages,Chamonix,235.08,160.45,31.75,3.693,-0.05682639877062223
LIB-04082577,Classic Fynbos Honey 400g,Spreads,Bonne Maman,261.42,207.21,20.74,2.672,-0.05672095780257602
LIB-00560997,Family Pack Masala Blend 250ml,Dry condiments,Cape Foods,188.04,148.86,20.84,3.96,-0.05672095780257602
LIB-00153407,Traditional Crumbed Chicken Schnitzel 2kg,Value-added Meats,Finlar Fine Foods,178.88,141.65,20.81,4.168,-0.05672095780257602
LIB-02400190,gourmet apricot jam 250g,Spreads,Bonne Maman,326.23,185.01,43.29,3.404,-0.056664501266928013
LIB-01020474,Organic Orange Marmalade 500g,Spreads,Cape Coastal Honey,227.14,165.01,27.35,3.836,-0.05666231130249533
LIB-02709126,Everyday Strawberry Preserve 750g,Spreads,Dickon Hall Foods,224.95,163.52,27.31,3.846,-0.05666231130249533
LIB-00048940,Traditional Apricot Jam 750g,Spreads,Bonne Maman,294.91,213.13,27.73,3.803,-0.05666231130249533
LIB-04059696,Everyday Strawberry Preserve 250g,Spreads,Goldcrest,189.95,150.87,20.57,2.916,-0.05648794994976791
LIB-03439753,Traditional Rooibos Tea 250ml,Beverages,Chamonix,220.44,155.19,29.6,3.688,-0.056324747213614246
LIB-04421450,Organic Orange Marmalade 250g,Spreads,Dickon Hall Foods,257.49,154.47,40.01,3.77,-0.05616295921050796
LIB-00343718,PREMIUM COCONUT MILK 1KG,Meal ingredients,Rialto,201.96,156.12,22.7,3.704,-0.0561607707272741
LIB-03357030,Family Pack Orange Marmalade 1kg,Spreads,Dickon Hall Foods,211.39,155.54,26.42,4.013,-0.0561607707272741
LIB-00500540,Traditional Hot Chocolate 1L,Beverages,Khoisan Gourmet,277.67,208.84,24.79,3.996,-0.0561607707272741
LIB-01874182,Everyday Green Tea 400g,Beverages,Khoisan Gourmet,244.43,179.24,26.67,3.885,-0.0561607707272741
LIB-02090568,Everyday Instant Cappuccino 750g,Beverages,Chamonix,242.91,178.6,26.47,4.04,-0.0561607707272741
LIB-02540324,Gourmet Iced Tea Concentrate 1L,Beverages,Chamonix,285.72,183.95,35.62,4.072,-0.05609186385024645
LIB-01135400,Family Pack Hot Chocolate 400g,Beverages,Khoisan Gourmet,353.69,235.5,33.42,3.852,-0.05609186385024645
